Date,Product ID,Product Type,Size,Color,Quantity Sold,Sales Channel,Marketing Channel,Revenue,Production Time,Cost per Unit,Customer Satisfaction,Product Rating,Customer Comments,Material Type,Printing Method,Discount Applied,Estimated Delivery Date,Supplier,Shipping Cost,Customer Location,Payment Method,Internal Comments,Order Number
2023-02-05,9736,Hoodie,XL,Red,8,Fair,Email,62.63,4.17,7.27,3.83,4.87,Not satisfied,Cotton,Sublimation,Yes,2023-02-06,Supplier A,7.08,City C,Bank Transfer,Handled with care,912106
2023-02-06,7687,Short Sleeve,XL,Black,6,Online,Social Media,27.62,1.82,9.23,2.87,2.9,Not satisfied,Cotton,Sublimation,No,2023-02-07,Supplier A,6.09,City B,Credit Card,Handled with care,331186
2023-02-07,1714,Long Sleeve,M,Black,9,Social Media,Social Media,79.62,2.46,5.95,3.57,1.2,Will buy again,Polyester,Sublimation,No,2023-02-08,Supplier C,4.89,City C,PayPal,Handled with care,829716
2023-02-08,3292,Hoodie,L,Red,8,Online,Email,47.81,1.63,8.27,1.43,1.68,Will buy again,Cotton,Embroidery,No,2023-02-09,Supplier A,11.2,City A,PayPal,Urgent,128886
2023-02-09,9343,Tank Top,S,Green,1,Online,Social Media,33.51,1.36,5.57,4.5,2.07,Fast delivery,Cotton,Embroidery,Yes,2023-02-10,Supplier C,14.88,City C,Bank Transfer,Special instructions,692713
2023-02-10,2207,Hoodie,M,White,3,Social Media,Organic Search,32.99,3.22,15.48,3.72,4.5,Good quality,Cotton,Embroidery,No,2023-02-11,Supplier C,9.18,City B,Credit Card,Special instructions,434919
2023-02-11,7172,Short Sleeve,M,Blue,8,Online,Social Media,21.22,2.28,11.07,4.09,4.55,Will buy again,Cotton,Embroidery,No,2023-02-12,Supplier A,7.21,City C,Credit Card,Special instructions,448481
2023-02-12,9994,Short Sleeve,XL,Red,4,Fair,Social Media,82.23,3.05,10.67,1.45,4.87,Will buy again,Blend,Sublimation,Yes,2023-02-13,Supplier B,10.16,City A,Credit Card,Special instructions,650853
2023-02-13,8221,Short Sleeve,L,Green,6,Online,Email,78.3,3.35,12.28,3.08,2.05,Not satisfied,Polyester,Sublimation,No,2023-02-14,Supplier C,5.14,City C,PayPal,Special instructions,885801
2023-02-14,7021,Short Sleeve,L,Green,2,Online,Organic Search,58.8,3.42,8.92,3.77,1.7,Will buy again,Polyester,Embroidery,Yes,2023-02-15,Supplier B,10.78,City B,Bank Transfer,Handled with care,637733
2023-02-15,4622,Hoodie,XL,Green,6,Online,Email,44.48,4.76,10.41,3.09,3.1,Good quality,Blend,Embroidery,Yes,2023-02-16,Supplier A,7.79,City B,PayPal,Urgent,187663
2023-02-16,4560,Short Sleeve,S,Red,2,Online,Organic Search,51.33,1.94,13.86,1.4,2.38,Not satisfied,Polyester,Screen Printing,Yes,2023-02-17,Supplier A,5.75,City A,PayPal,Urgent,227663
2023-02-17,9948,Short Sleeve,XL,Red,2,Fair,Organic Search,90.73,4.59,8.37,1.24,2.59,Fast delivery,Blend,Screen Printing,No,2023-02-18,Supplier B,10.85,City C,PayPal,Special instructions,335252
2023-02-18,2641,Tank Top,M,Green,3,Social Media,Social Media,29.7,1.21,11.93,3.46,2.81,Good quality,Cotton,Embroidery,Yes,2023-02-19,Supplier B,7.09,City C,Credit Card,Urgent,491220
2023-02-19,5984,Hoodie,XL,Green,5,Social Media,Social Media,22.37,1.12,13.62,4.19,1.24,Good quality,Blend,Screen Printing,Yes,2023-02-20,Supplier B,3.91,City A,PayPal,Handled with care,565087
2023-02-20,5353,Short Sleeve,L,Red,4,Social Media,Social Media,37.26,1.44,7.07,4.99,2.3,Good quality,Polyester,Sublimation,Yes,2023-02-21,Supplier A,13.96,City B,PayPal,Handled with care,716366
2023-02-21,9622,Short Sleeve,S,White,2,Social Media,Social Media,61.65,3.57,9.6,3.27,3.97,Fast delivery,Blend,Sublimation,No,2023-02-22,Supplier B,7.16,City C,Bank Transfer,Special instructions,327283
2023-02-22,8250,Tank Top,M,Red,2,Social Media,Email,20.61,3.12,13.28,1.92,2.91,Fast delivery,Cotton,Embroidery,No,2023-02-23,Supplier B,9.81,City C,Bank Transfer,Urgent,724552
2023-02-23,5187,Short Sleeve,M,Black,3,Social Media,Email,28.34,1.65,11.02,2.62,4.06,Good quality,Cotton,Embroidery,Yes,2023-02-24,Supplier A,14.91,City A,PayPal,Special instructions,967949
2023-02-24,3659,Short Sleeve,L,Green,9,Social Media,Organic Search,75.83,1.59,15.74,1.43,3.69,Good quality,Polyester,Sublimation,No,2023-02-25,Supplier A,3.98,City C,Bank Transfer,Handled with care,457586
2023-02-25,3956,Tank Top,XL,White,2,Fair,Social Media,55.85,3.12,8.47,2.66,4.76,Not satisfied,Polyester,Embroidery,Yes,2023-02-26,Supplier B,10.36,City B,PayPal,Handled with care,150763
2023-02-26,3251,Short Sleeve,M,Blue,8,Online,Organic Search,95.89,4.84,12.06,4.36,3.76,Not satisfied,Blend,Embroidery,Yes,2023-02-27,Supplier A,3.13,City C,PayPal,Urgent,899942
2023-02-27,5420,Short Sleeve,XL,Red,9,Online,Email,92.86,1.73,17.32,2.56,3.24,Not satisfied,Cotton,Sublimation,No,2023-02-28,Supplier A,11.83,City A,Credit Card,Urgent,288947
2023-02-28,8108,Tank Top,M,Green,3,Social Media,Social Media,42.12,2.04,7.14,1.21,1.63,Fast delivery,Blend,Sublimation,Yes,2023-03-01,Supplier C,5.97,City A,PayPal,Special instructions,892822
2023-03-01,2071,Short Sleeve,L,Red,7,Social Media,Social Media,50.22,1.48,18.42,1.66,4.68,Will buy again,Polyester,Screen Printing,No,2023-03-02,Supplier C,13.53,City A,Bank Transfer,Handled with care,226281
2023-03-02,6251,Tank Top,M,Blue,6,Online,Social Media,93.45,3.38,11.71,3.68,4.99,Fast delivery,Blend,Screen Printing,No,2023-03-03,Supplier A,5.94,City C,Bank Transfer,Handled with care,284243
2023-03-03,8012,Short Sleeve,M,Red,2,Online,Email,66.34,4.71,12.2,3.76,4.37,Good quality,Polyester,Screen Printing,Yes,2023-03-04,Supplier A,6.21,City C,PayPal,Urgent,708609
2023-03-04,4918,Hoodie,S,White,7,Online,Organic Search,49.58,1.95,14.54,1.79,1.37,Fast delivery,Blend,Embroidery,Yes,2023-03-05,Supplier B,3.95,City A,Bank Transfer,Handled with care,529332
2023-03-05,2684,Hoodie,M,Blue,3,Fair,Social Media,84.03,2.89,13.13,4.24,1.45,Good quality,Polyester,Screen Printing,No,2023-03-06,Supplier A,4.05,City B,PayPal,Special instructions,460930
2023-03-06,8098,Short Sleeve,L,Black,6,Social Media,Social Media,93.96,4.63,17.35,2.12,2.46,Not satisfied,Cotton,Screen Printing,Yes,2023-03-07,Supplier B,6.34,City A,Bank Transfer,Special instructions,849560
2023-03-07,3957,Hoodie,M,Black,7,Social Media,Organic Search,73.88,3.83,7.8,3.22,3.78,Fast delivery,Polyester,Sublimation,No,2023-03-08,Supplier C,11.9,City A,PayPal,Handled with care,587756
2023-03-08,5469,Hoodie,L,Green,2,Social Media,Organic Search,38.47,3.11,6.95,2.23,4.31,Will buy again,Blend,Embroidery,No,2023-03-09,Supplier C,11.84,City A,PayPal,Handled with care,198877
2023-03-09,9752,Hoodie,XL,Black,6,Fair,Organic Search,85.54,3.56,8.95,3.77,1.72,Will buy again,Cotton,Embroidery,Yes,2023-03-10,Supplier C,8.34,City A,PayPal,Special instructions,413801
2023-03-10,6795,Tank Top,L,Red,9,Online,Social Media,53.64,3.92,19.97,2.5,3.5,Fast delivery,Polyester,Embroidery,No,2023-03-11,Supplier A,13.95,City C,Bank Transfer,Special instructions,263651
2023-03-11,2472,Hoodie,XL,White,5,Social Media,Social Media,75.84,3.91,6.48,4.05,1.64,Good quality,Blend,Screen Printing,Yes,2023-03-12,Supplier B,10.14,City A,PayPal,Special instructions,204400
2023-03-12,8263,Long Sleeve,M,Black,7,Online,Social Media,58.91,2.94,12.96,2.93,1.45,Will buy again,Blend,Embroidery,Yes,2023-03-13,Supplier A,8.5,City C,Credit Card,Handled with care,180174
2023-03-13,8365,Tank Top,L,Green,6,Social Media,Organic Search,95.27,2.13,16.6,3.56,2.88,Good quality,Polyester,Sublimation,Yes,2023-03-14,Supplier A,14.44,City B,Credit Card,Urgent,918548
2023-03-14,9448,Long Sleeve,S,Red,7,Online,Social Media,25.47,1.82,17.49,4.7,4.44,Not satisfied,Polyester,Embroidery,No,2023-03-15,Supplier C,4.25,City B,PayPal,Special instructions,538453
2023-03-15,7001,Hoodie,L,Green,1,Fair,Email,32.46,4.67,19.36,2.74,3.51,Will buy again,Cotton,Screen Printing,Yes,2023-03-16,Supplier C,4.17,City B,Credit Card,Special instructions,926067
2023-03-16,4762,Hoodie,XL,Green,3,Social Media,Social Media,35.57,1.23,19.93,3.2,3.73,Fast delivery,Polyester,Embroidery,No,2023-03-17,Supplier B,4.63,City A,Bank Transfer,Special instructions,528961
2023-03-17,3435,Long Sleeve,XL,White,6,Social Media,Organic Search,37.68,2.35,13.28,1.76,2.57,Fast delivery,Polyester,Embroidery,No,2023-03-18,Supplier A,8.97,City A,Credit Card,Handled with care,216368
2023-03-18,2634,Short Sleeve,S,White,7,Online,Email,38.83,3.76,8.61,3.77,2.07,Will buy again,Polyester,Embroidery,No,2023-03-19,Supplier B,7.81,City A,PayPal,Handled with care,698312
2023-03-19,1973,Hoodie,L,Green,3,Social Media,Organic Search,32.23,3.4,12.8,1.85,4.73,Fast delivery,Blend,Screen Printing,Yes,2023-03-20,Supplier B,10.77,City A,PayPal,Urgent,564386
2023-03-20,5464,Tank Top,M,Green,2,Fair,Social Media,75.43,2.73,16.04,3.76,2.65,Not satisfied,Cotton,Embroidery,Yes,2023-03-21,Supplier C,11.37,City C,Credit Card,Special instructions,120029
2023-03-21,9393,Long Sleeve,L,Black,5,Online,Email,37.45,1.42,12.15,4.69,3.05,Fast delivery,Cotton,Sublimation,No,2023-03-22,Supplier B,12.41,City A,Credit Card,Handled with care,698415
2023-03-22,3418,Long Sleeve,L,Black,9,Social Media,Social Media,38.84,1.56,9.08,4.77,1.29,Not satisfied,Blend,Sublimation,No,2023-03-23,Supplier B,3.84,City C,Credit Card,Urgent,416240
2023-03-23,4455,Hoodie,L,Blue,9,Online,Organic Search,35.79,3.79,17.33,4.21,1.28,Fast delivery,Polyester,Screen Printing,No,2023-03-24,Supplier C,6.69,City C,Credit Card,Urgent,648596
2023-03-24,7167,Long Sleeve,S,White,4,Online,Social Media,51.89,2.93,17.44,3.16,4.03,Will buy again,Blend,Screen Printing,Yes,2023-03-25,Supplier C,10.49,City C,PayPal,Handled with care,849424
2023-03-25,6819,Long Sleeve,S,Black,8,Social Media,Social Media,96.69,2.36,13.26,4.35,4.73,Good quality,Blend,Embroidery,No,2023-03-26,Supplier B,6.4,City B,Credit Card,Special instructions,660309
2023-03-26,7521,Tank Top,S,Green,3,Online,Organic Search,49.34,2.5,14.02,2.83,3.55,Not satisfied,Polyester,Screen Printing,No,2023-03-27,Supplier B,9.51,City A,PayPal,Handled with care,449067
2023-03-27,7242,Short Sleeve,S,Black,2,Online,Organic Search,43.81,2.71,12.7,2.51,4.6,Not satisfied,Blend,Screen Printing,No,2023-03-28,Supplier C,7.31,City B,PayPal,Handled with care,208735
2023-03-28,8742,Short Sleeve,S,Blue,2,Online,Social Media,25.49,3.73,16.73,3.81,4.1,Good quality,Polyester,Screen Printing,Yes,2023-03-29,Supplier B,7.13,City B,Credit Card,Handled with care,344180
2023-03-29,7738,Long Sleeve,M,Black,2,Fair,Organic Search,48.2,3.4,18.31,1.83,1.52,Fast delivery,Blend,Sublimation,No,2023-03-30,Supplier A,13.97,City C,Bank Transfer,Special instructions,530543
2023-03-30,3787,Short Sleeve,L,Green,7,Fair,Social Media,38.58,1.28,5.03,1.3,1.27,Good quality,Cotton,Sublimation,Yes,2023-03-31,Supplier A,5.11,City B,PayPal,Urgent,269021
2023-03-31,8316,Long Sleeve,L,Black,4,Fair,Social Media,81.03,1.63,19.6,2.46,4.77,Good quality,Blend,Embroidery,Yes,2023-04-01,Supplier B,5.27,City A,Credit Card,Special instructions,656059
2023-04-01,5305,Short Sleeve,M,Black,7,Social Media,Email,28.93,1.28,10.16,2.36,1.65,Not satisfied,Blend,Screen Printing,Yes,2023-04-02,Supplier B,3.2,City A,Bank Transfer,Special instructions,705334
2023-04-02,3610,Short Sleeve,M,White,6,Online,Social Media,31.49,1.14,10.99,1.48,3.52,Good quality,Blend,Embroidery,Yes,2023-04-03,Supplier A,4.35,City C,Credit Card,Handled with care,623390
2023-04-03,6531,Tank Top,M,White,5,Social Media,Social Media,42.28,4.1,10.52,4.42,1.94,Will buy again,Polyester,Embroidery,Yes,2023-04-04,Supplier C,4.9,City B,Credit Card,Urgent,955802
2023-04-04,7926,Long Sleeve,M,Blue,3,Social Media,Organic Search,43.04,4.4,17.67,3.67,3.06,Good quality,Cotton,Screen Printing,Yes,2023-04-05,Supplier C,12.35,City B,Credit Card,Special instructions,813770
2023-04-05,8204,Tank Top,S,Blue,8,Fair,Email,87.7,2.66,16.05,1.1,2.95,Good quality,Polyester,Sublimation,Yes,2023-04-06,Supplier C,5.75,City A,Bank Transfer,Handled with care,189751
2023-04-06,7922,Hoodie,L,Black,9,Fair,Email,83.3,4.88,7.68,3.16,3.87,Good quality,Blend,Screen Printing,No,2023-04-07,Supplier A,13.63,City B,PayPal,Urgent,797816
2023-04-07,5182,Short Sleeve,M,White,9,Online,Email,66.29,4.45,11.12,1.62,4.28,Fast delivery,Blend,Screen Printing,No,2023-04-08,Supplier B,11.2,City C,Credit Card,Urgent,271873
2023-04-08,1307,Hoodie,XL,White,1,Social Media,Social Media,43.09,4.44,5.04,3.04,5.0,Not satisfied,Blend,Sublimation,Yes,2023-04-09,Supplier C,4.2,City A,Credit Card,Special instructions,936438
2023-04-09,6302,Long Sleeve,M,Black,8,Social Media,Email,45.51,2.47,17.05,4.09,1.83,Not satisfied,Polyester,Screen Printing,Yes,2023-04-10,Supplier C,11.72,City C,Bank Transfer,Handled with care,727588
2023-04-10,2152,Long Sleeve,L,White,9,Online,Email,67.38,4.82,8.54,2.65,2.75,Fast delivery,Polyester,Embroidery,Yes,2023-04-11,Supplier C,8.49,City C,Bank Transfer,Special instructions,255491
2023-04-11,7950,Long Sleeve,XL,Red,9,Fair,Organic Search,79.19,4.0,6.25,3.39,2.5,Fast delivery,Blend,Sublimation,Yes,2023-04-12,Supplier A,12.54,City C,Bank Transfer,Special instructions,470725
2023-04-12,9467,Hoodie,M,Green,8,Fair,Organic Search,50.73,2.41,14.91,3.19,1.14,Not satisfied,Blend,Sublimation,Yes,2023-04-13,Supplier C,9.88,City C,Credit Card,Special instructions,501014
2023-04-13,6294,Hoodie,S,Red,5,Fair,Social Media,60.76,4.56,8.29,3.31,1.95,Fast delivery,Blend,Sublimation,No,2023-04-14,Supplier B,7.97,City C,Bank Transfer,Handled with care,932628
2023-04-14,2208,Long Sleeve,S,Red,7,Fair,Social Media,91.04,1.02,13.24,2.91,3.19,Will buy again,Blend,Embroidery,Yes,2023-04-15,Supplier B,3.14,City A,Credit Card,Handled with care,373325
2023-04-15,3492,Long Sleeve,XL,Red,7,Online,Social Media,71.98,3.29,7.42,1.67,4.51,Fast delivery,Cotton,Screen Printing,Yes,2023-04-16,Supplier C,3.43,City C,Credit Card,Handled with care,558280
2023-04-16,9829,Hoodie,S,White,9,Online,Organic Search,62.84,3.08,16.85,1.97,2.26,Fast delivery,Polyester,Sublimation,Yes,2023-04-17,Supplier B,12.53,City C,Credit Card,Handled with care,330933
2023-04-17,1770,Long Sleeve,XL,Black,4,Online,Email,25.7,1.33,19.73,4.58,3.81,Not satisfied,Blend,Embroidery,No,2023-04-18,Supplier C,3.59,City A,PayPal,Handled with care,877052
2023-04-18,9286,Short Sleeve,M,Blue,8,Online,Email,34.08,4.45,6.61,3.95,4.76,Will buy again,Cotton,Screen Printing,No,2023-04-19,Supplier C,6.92,City B,Bank Transfer,Handled with care,178888
2023-04-19,6995,Long Sleeve,L,Green,9,Online,Email,36.08,2.13,17.62,4.93,1.72,Not satisfied,Cotton,Sublimation,Yes,2023-04-20,Supplier B,4.8,City A,Credit Card,Urgent,532188
2023-04-20,3344,Short Sleeve,XL,Green,5,Fair,Organic Search,69.85,2.51,12.35,1.22,1.43,Not satisfied,Cotton,Embroidery,No,2023-04-21,Supplier C,8.33,City C,Credit Card,Special instructions,143994
2023-04-21,4091,Tank Top,M,Red,3,Fair,Organic Search,28.65,2.9,5.77,2.27,4.95,Not satisfied,Cotton,Embroidery,Yes,2023-04-22,Supplier B,12.34,City C,PayPal,Urgent,400165
2023-04-22,4912,Hoodie,XL,Blue,4,Social Media,Organic Search,22.32,4.27,12.82,4.84,1.2,Not satisfied,Polyester,Embroidery,Yes,2023-04-23,Supplier B,3.12,City C,Credit Card,Special instructions,370801
2023-04-23,2434,Short Sleeve,L,Black,1,Fair,Organic Search,48.83,3.38,12.23,2.76,2.12,Will buy again,Polyester,Sublimation,Yes,2023-04-24,Supplier C,10.33,City C,PayPal,Handled with care,936811
2023-04-24,7594,Hoodie,S,Blue,5,Social Media,Email,77.51,3.26,18.37,3.42,4.48,Not satisfied,Polyester,Sublimation,No,2023-04-25,Supplier A,4.18,City B,Bank Transfer,Handled with care,636535
2023-04-25,6368,Hoodie,S,Blue,9,Fair,Email,75.46,2.45,10.11,3.28,2.1,Will buy again,Blend,Embroidery,Yes,2023-04-26,Supplier A,11.96,City A,Bank Transfer,Special instructions,410191
2023-04-26,9372,Tank Top,XL,Green,1,Fair,Organic Search,83.41,2.12,16.36,1.56,1.7,Good quality,Blend,Sublimation,Yes,2023-04-27,Supplier C,12.89,City B,Credit Card,Special instructions,400387
2023-04-27,8148,Long Sleeve,L,White,5,Online,Organic Search,75.7,2.91,6.98,3.92,4.13,Not satisfied,Polyester,Sublimation,Yes,2023-04-28,Supplier C,5.91,City C,PayPal,Handled with care,838933
2023-04-28,8997,Short Sleeve,M,Red,3,Fair,Email,69.06,2.02,10.83,1.23,3.9,Will buy again,Polyester,Screen Printing,Yes,2023-04-29,Supplier A,5.92,City C,Credit Card,Urgent,678333
2023-04-29,4854,Short Sleeve,M,White,7,Social Media,Social Media,58.89,2.36,13.09,3.15,1.43,Good quality,Blend,Screen Printing,Yes,2023-04-30,Supplier B,9.9,City A,Credit Card,Handled with care,665761
2023-04-30,9032,Short Sleeve,M,Green,3,Online,Social Media,36.68,2.76,7.72,3.21,3.01,Will buy again,Polyester,Sublimation,Yes,2023-05-01,Supplier A,7.52,City A,Bank Transfer,Special instructions,110420
2023-05-01,9131,Tank Top,XL,Blue,3,Online,Organic Search,65.48,4.37,7.97,1.81,4.57,Not satisfied,Polyester,Screen Printing,Yes,2023-05-02,Supplier B,13.13,City C,PayPal,Handled with care,379193
2023-05-02,5845,Long Sleeve,S,Red,3,Fair,Organic Search,70.93,4.72,8.68,4.0,2.7,Fast delivery,Polyester,Screen Printing,Yes,2023-05-03,Supplier B,4.91,City A,PayPal,Urgent,376644
2023-05-03,6116,Hoodie,XL,Black,8,Online,Social Media,29.9,4.32,16.14,4.58,1.89,Not satisfied,Polyester,Embroidery,Yes,2023-05-04,Supplier C,3.69,City B,Bank Transfer,Special instructions,556407
2023-05-04,4533,Hoodie,XL,Black,7,Social Media,Organic Search,65.21,3.1,19.15,4.92,3.78,Will buy again,Blend,Screen Printing,Yes,2023-05-05,Supplier C,11.0,City B,Bank Transfer,Special instructions,308218
2023-05-05,3937,Short Sleeve,XL,Blue,7,Social Media,Social Media,27.82,3.85,6.91,1.11,1.91,Will buy again,Cotton,Sublimation,No,2023-05-06,Supplier A,5.37,City C,Bank Transfer,Special instructions,519586
2023-05-06,5939,Hoodie,M,White,1,Social Media,Email,63.77,2.34,13.22,2.24,4.63,Not satisfied,Cotton,Screen Printing,Yes,2023-05-07,Supplier A,4.63,City A,Credit Card,Special instructions,389817
